answer,subject,choice_3,choice_2,choice_1,choice_0,question
3,miscellaneous,سیاسی افادیت,سیاسی وفاداری,سیاسی بیگانگی,سیاسی جماعت بندی,جو لوگ اپنے سیاسی خیالات کو اہم سمجھتے ہیں، وہ حکومت ان خیالات کا احترام کرے گی، اور یہ کہ ان کے خیالات سیاسی معاملات پر اثر انداز ہو سکتے ہیں، کہا جاتا ہے کہ ان کے بارے میں ایک مضبوط احساس ہے۔
0,miscellaneous,70 سال,60 سال,50 سال,40 سال,خانہ جنگی سے عین پہلے امریکہ میں پیدا ہونے والے سفید فام مردوں کی اوسط عمر کتنی تھی؟
0,miscellaneous,میٹھا,کنجوس,مقدس,پاگل,"یدش لفظ ""میشوگا"" کا کیا مطلب ہے؟"
1,miscellaneous,زیٹا,upsilon,اومیگا,omicron,یونانی حروف تہجی کا آخری حرف کیا ہے؟
2,miscellaneous,ہم آہنگی,ٹیمپو,پچ,حرکیات,ایک ابتدائی اسکول کا طالب علم ڈھول پر مناسب تال کے نمونوں کو بجا کر تیز اور سست گانوں کی پیروی کرنے کے قابل ہوتا ہے۔ طالب علم موسیقی کی مندرجہ ذیل خصوصیات میں سے کونسی چیز کو سمجھتا ہے؟
0,miscellaneous,دس,آٹھ,سات,چھ,جب ایف ڈی آر نے 1932 کے صدارتی انتخابات میں ریاستوں کو لے کر کیا تو اس نے کتنی ریاستیں نہیں لی تھیں؟
1,miscellaneous,سبز سیم,آلو,تربوز,سبز مرچ,ان میں سے کون ککڑی کے خاندان کا رکن ہے؟
3,miscellaneous,وضاحتی,وضاحتی,قائل کرنے والا,معلوماتی,میں وہی بن گیا جو میں آج بارہ سال کی عمر میں 1975 کی سردیوں کے ایک سرد ابر آلود دن میں بن گیا تھا۔ مجھے وہ لمحہ یاد ہے، جو مٹی کی ٹوٹی ہوئی دیوار کے پیچھے جھکتا ہوا، منجمد کریک کے قریب گلی میں جھانک رہا تھا۔ یہ ایک طویل عرصہ پہلے تھا، لیکن یہ غلط ہے کہ وہ ماضی کے بارے میں کیا کہتے ہیں، میں نے سیکھا ہے کہ آپ اسے کیسے دفن کر سکتے ہیں. کیونکہ ماضی اس سے نکلنے کا راستہ روکتا ہے۔ اب پیچھے مڑ کر دیکھتا ہوں تو احساس ہوتا ہے کہ میں پچھلے چھبیس سالوں سے اس ویران گلی میں جھانک رہا ہوں۔ اقتباس درج ذیل میں سے کس قسم کی تحریر کی ایک مثال ہے؟
1,miscellaneous,ذہنی معذوری۔,لالچ میں فراڈ,معاشی وسائل میں کمی,معاہدے کی خلاف ورزی,قانونی طور پر گفت و شنید کے آلے پر ادائیگی سے بچنے کے لیے درج ذیل میں سے کون سا دفاع استعمال نہیں کیا جا سکتا؟
0,miscellaneous,سیرنیڈ,سٹرم اینڈ ڈرینگ,پارٹیٹس,شاندار انداز,سادہ ہم آہنگی، ہلکی ساخت اور ہموار دھنیں اس کی خوبیاں ہیں۔
1,miscellaneous,یہ اپنے حریفوں کو بازار سے باہر نکالنے کے لیے اوسط متغیر لاگت سے کم قیمت مقرر کرتا ہے۔,اس کی معمولی آمدنی بڑھ جاتی ہے کیونکہ پیداوار فروخت بڑھ جاتی ہے۔,اسے زیادہ پیداوار فروخت کرنے کے لیے تمام یونٹس پر اپنی قیمت کم کرنی ہوگی۔,یہ مارکیٹ میں ایک ہی مصنوعات بیچنے والی بہت سی فرموں سے مقابلہ کرتا ہے۔,اجارہ داری کے بارے میں مندرجہ ذیل میں سے کون سا سچ ہے؟
3,miscellaneous,لارنس,لینس,لینڈو,لیو,ان میں سے کون سا نام کبھی کسی پوپ کا نہیں رہا؟
2,miscellaneous,تجارتی ہوائیں پتھریلی ساحلوں کے قریب پانی کو بڑے سمندری بلجوں میں دھکیل دیتی ہیں۔,سمندر کے فرش کی ٹپوگرافی اور ساحلی پٹی کی شکل مخصوص علاقوں میں سمندری بہاؤ کو بڑھانے کا کام کرتی ہے۔,Coriolis اثر اور زمین کی گردش اعلی عرض بلد میں سمندری بہاؤ کو بڑھاتی ہے۔,سورج کی پوزیشن مختلف مقامات پر مختلف ہوتی ہے۔,مندرجہ ذیل میں سے کون سا یہ بتانے میں مدد کرتا ہے کہ کچھ علاقوں میں عام طور پر سمندری حدود (60 فٹ تک) اور دیگر میں ایک سے دو فٹ تک سمندری حدود کیوں ہوتی ہیں؟
2,miscellaneous,مارجورام,ہیملاک,تائیم,ڈل,"ان میں سے کون سا عام طور پر ""مسالے کے طور پر استعمال نہیں ہوتا؟"
2,miscellaneous,سینٹ جان آف آرک,سینٹ فرانسس آف اسیسی,پڈوا کے سینٹ انتھونی,Seville کے سینٹ Isidore,جانوروں کا سرپرست کون ہے؟
2,miscellaneous,زیر سمندر گرم جگہ کے آتش فشاں کا پھٹنا,براعظمی چٹانوں کا موسم,وایمنڈلیی جمع,سمندری حیاتیاتی سرگرمی,زمین کے سمندروں میں تحلیل شدہ نمکیات بنیادی طور پر ماخوذ ہیں۔
3,miscellaneous,چٹکی مارنے والا,کلپ مارنے والا,شیڈو مارنے والا,سوئچ ہٹٹر,ایک بلے باز کے لیے بیس بال کی اصطلاح کیا ہے جو دوسرے بلے باز کی جگہ لے؟
2,miscellaneous,پیراگوئے,ارجنٹائن,مشرقی جرمنی,برازیل,1960 میں نازی اہلکار ایڈولف ایچ مین آخر کس ملک میں پکڑا گیا؟
2,miscellaneous,729,81,27,9,81 مربع کا مربع جڑ کیا ہے؟
0,miscellaneous,سورج اپنے مرکز میں سوڈیم کے جوہری فیوژن سے پیدا ہونے والی توانائی دیتا ہے۔,وائجر خلائی جہاز کے ذریعے زمین پر واپس آنے والے شمسی نمونوں میں سوڈیم موجود تھا۔,سورج جیسی سپیکٹرل کلاس والے ستارے زیادہ تر سوڈیم سے بنتے ہیں۔,شمسی سپیکٹرم میں جذب لائنیں سوڈیم کی موجودگی کے ساتھ مطابقت رکھتی ہیں۔,مندرجہ ذیل میں سے کس نے ثبوت فراہم کیا ہے کہ سورج کی فضا میں سوڈیم ایٹم موجود ہیں؟
1,miscellaneous,ڈبلیو ایکس وائی,جی ایچ آئی,ڈی ای ایف,اے بی سی,ٹچ ٹون ٹیلی فون کے '3' بٹن پر کون سے حروف ہوتے ہیں؟
3,miscellaneous,طلباء کے لیے دلچسپ موضوعات,کلاس کی تدریسی پڑھنے کی سطح,مقامی کمیونٹی کی ثقافت,تدریسی مقاصد,کلاس روم میں طالب علم کی مصروفیت کی بہترین حوصلہ افزائی کے لیے، ایک استاد کو مندرجہ ذیل میں سے کس کی بنیاد پر متن کا انتخاب کرنا چاہیے؟
2,miscellaneous,سیاہ دھبوں کے ساتھ سفید,سفید,سفید دھبوں کے ساتھ سیاہ,سیاہ,جب ایک Dalmatian کتے کی پیدائش ہمیشہ ہے؟
3,miscellaneous,اسرا ییل,یونان,سپین,اٹلی,ان میں سے کون سا ملک یورپ میں نہیں ہے؟
1,miscellaneous,ہاورڈ اسٹرن,لیری کنگ,کیسی قاسم,رش Limbaugh,کارٹون 'Scooby-Do' پر شیگی کی آواز بھی ریڈیو کی کونسی مشہور شخصیت تھی؟
2,miscellaneous,ستنداریوں,پرندے,رینگنے والے جانور,amphibians,بہت سے سائنس دانوں کا خیال ہے کہ کچھ ڈائنوسار معدوم نہیں ہوئے بلکہ ترقی کر کے کس قسم کی مخلوق بن گئے؟
1,miscellaneous,Gizmonics,بوٹ بریگیڈ,MiSTies,پراسرار,ٹی وی شو 'اسرار سائنس تھیٹر 3000' کے شائقین کس نام سے جانے جاتے ہیں؟
3,miscellaneous,ہنڈائی,سبارو,ہونڈا۔,ٹویوٹا,کون سی آٹوموبائل کمپنی سوناٹا بناتی ہے؟
2,miscellaneous,وزن,سرعت,فاصلے,رفتار,طاقت بڑے پیمانے پر اوقات کے برابر ہے کیا؟
0,miscellaneous,گانا,بیکنگ,مجسمہ سازی,بنائی,ٹیپسٹری بنانے کے لیے روایتی طور پر کس سرگرمی میں مشغول ہونا چاہیے؟
0,miscellaneous,نائٹروجن,ہائیڈروجن,آکسیجن,کاربن,نامیاتی مرکبات میں کون سا عنصر ہوتا ہے؟
1,miscellaneous,ہرپیٹولوجسٹ,میرینولوجسٹ,ichthyologist,ماہر حیاتیات,مچھلی کا مطالعہ کرنے والے کے لیے تکنیکی اصطلاح کیا ہے؟
2,miscellaneous,شدید اورکت بیموں کا سلسلہ,اورکت دالوں کا سلسلہ,ریڈیو لہر سگنل,نظر آنے والی روشنی کی نبض,ایک شخص ٹیلی ویژن پر والیوم کی سطح کو تبدیل کرنے کے لیے ریموٹ کنٹرول کا استعمال کرتا ہے۔ ریموٹ سے ٹیلی ویژن تک سفر کرنے والا سگنل زیادہ تر ممکنہ طور پر a میں انکوڈ ہوتا ہے۔
0,miscellaneous,دو پاؤں,دس انچ,سات انچ,چار انچ,جب گھوڑوں کی پیمائش کی بات آتی ہے تو 'ہاتھ' کتنا لمبا ہوتا ہے؟
1,miscellaneous,0,7,2,14,پی ایچ پیمانے پر لیموں کے رس کی (تخمینی) قدر کیا ہے؟
0,miscellaneous,کل آمدنی میں کوئی تبدیلی نہیں آئے گی۔,کل آمدنی میں کمی آئے گی۔,مطلوبہ مقدار میں اضافہ ہوگا۔,مطلوبہ مقدار میں کوئی تبدیلی نہیں آئے گی۔,مندرجہ ذیل میں سے کون ایک ایسی مصنوعات کی قیمت میں اضافے کے بعد کی صورت حال کو بہترین انداز میں بیان کرتا ہے جس کی غیر متزلزل مانگ ہے؟
3,miscellaneous,دوسروں کے ساتھ مناسب رویے کے قوانین کا مشاہدہ سماجی اور سیاسی ہم آہنگی کو یقینی بنائے گا۔,پرسکون غور و فکر اور دنیاوی فتنوں سے الگ تھلگ رہنے والی زندگی خود کو کمال حاصل کرے گی۔,زندگی کا حتمی مقصد موت اور تناسخ کے لامتناہی چکر میں مبتلا مصائب سے بچنا ہے۔,خدا پر ایمان رکھنے کا اجر آخرت میں ملے گا۔,مندرجہ ذیل میں سے کون سا بیان کنفیوشس کے عالمی نظریہ کی عکاسی کرتا ہے جو کلاسیکی چینی ثقافت میں نمایاں ہے؟
1,miscellaneous,جمی کارٹر,گیری ہارٹ,والٹر مونڈیل,مائیکل ڈوکاکس,1984 کے صدارتی انتخابات میں ان میں سے کون ڈیموکریٹس رونالڈ ریگن سے ہارے تھے؟
3,miscellaneous,جی ڈی پی ڈیفلیٹر,حکومت کا بجٹ خسارہ,بے روزگاری کی شرح,رقم کی فراہمی,حقیقی مجموعی گھریلو پیداوار (جی ڈی پی) کو برائے نام جی ڈی پی کے تناسب کے طور پر بیان کیا جاتا ہے۔
1,miscellaneous,سویٹ,قدم,لنکس,پچ,ان میں سے کون سا گولف کورس کا دوسرا نام ہے؟
1,miscellaneous,"تنخواہ کے اخراجات میں $300,000 کی کمی ہوئی ہے۔ کیش میں $300,000 کی کمی ہوئی ہے۔","تنخواہ کے اخراجات میں $300,000 کی کمی ہوئی ہے۔ نقد $300,000 کا اضافہ ہوا ہے۔","تنخواہ کے اخراجات میں $300,000 کا اضافہ ہوا ہے۔ کیش میں $300,000 کی کمی ہوئی ہے۔","تنخواہ کے اخراجات میں $300,000 کا اضافہ ہوا ہے۔ نقد $300,000 کا اضافہ ہوا ہے۔","جب کارپوریشن X تنخواہوں میں $300,000 ادا کرتا ہے، تو درج ذیل میں سے کون سا اثر اثاثوں اور واجبات پر پڑتا ہے؟"
3,miscellaneous,بین,ہوس,چھوٹا جو,آدم,ٹی وی سیریز 'بونانزا' پر کارٹ رائٹ کے بیٹوں میں سے کون نہیں تھا؟
2,miscellaneous,آٹھ سال,چھ سال,چار سال,دو سال,امریکی سینیٹ میں ایک مدت کتنی لمبی ہوتی ہے؟
0,miscellaneous,ٹانگوں,پاؤں,ہاتھ,سر,آپ کو جسم کے کس حصے پر بابشکا پہننا چاہئے؟
1,miscellaneous,آرڈر کرنا,پیٹرننگ,گنتی,درجہ بندی کرنا,ایک کنڈرگارٹن ٹیچر طلباء کو درج ذیل کا تعین کرتا ہے۔ اس دن کتنے طالب علم غیر حاضر ہیں ‚ اگر ہر طالب علم کے لیے ناشتے کے وقت کافی ناشتے کے کپ ہیں ‚ چھٹی کے دوران کتنی گیندیں باہر لے جائی جاتی ہیں اور کتنی کو چھٹی کے بعد واپس اندر لایا جاتا ہے۔ مندرجہ ذیل میں سے کون سا تصور اس عزم کے ساتھ سب سے زیادہ مطابقت رکھتا ہے جو استاد طلباء سے کر رہا ہے؟
0,miscellaneous,گرامر کا باقاعدہ مطالعہ لکھنے کی صلاحیت کو بہتر بناتا ہے۔,تجزیہ اور خاکہ سازی منطقی سوچ میں مشق فراہم کرتی ہے۔,رسمی گرامر کے قواعد کا مطالعہ کرکے اچھے فیصلے کو بہتر بنایا جا سکتا ہے۔,مختلف حالات میں زبان کا استعمال گرامر کو بہتر بناتا ہے۔,گرائمر کو دو اہم طریقوں سے سکھایا جا سکتا ہے، اس گفتگو کے ساتھ تجربے کے ذریعے جس میں الفاظ کی شکلوں اور جملے کی ساخت کی اقسام شامل ہوں، یا جعلی جملوں اور خاکہ سازی کے حصوں کا تجزیہ کر کے۔ بہت زیادہ بحث کرنے والا تجربہ وہی ہے جو واقعی گرائمر کو سکھاتا ہے، کیونکہ یہ فیصلہ کرنے کی مشق کرتا ہے اور زبان کی مقدار فراہم کرتا ہے، جبکہ رسمی گرامر کا مطالعہ غیر متعلقہ ثابت ہوا ہے۔ تعلیم سے زیادہ سیاست اس سچائی کو پورا کرنے کے لیے نصاب کی تبدیلی کو روکتی ہے۔ مذکورہ بالا عبارت کا مصنف دلیل دیتا ہے۔
2,miscellaneous,ہیرا,ریا,فوبی,گایا,یونانی دیوتا زیوس کی ماں کون تھی؟
3,miscellaneous,جمی سویگارٹ,جیری فال ویل,اورل رابرٹس,بلی گراہم,ان میں سے کون سا مبشر راکر جیری لی لیوس کا کزن ہے؟
2,miscellaneous,فیڈرل ایمپلائز کمپنسیشن ایکٹ,فیئر لیبر اسٹینڈرڈز ایکٹ,امریکن ریکوری اینڈ ری انویسٹمنٹ ایکٹ,ملازم ریٹائرمنٹ انکم سیکیورٹی ایکٹ,اجرتوں اور اوور ٹائم تنخواہ کے لیے درج ذیل میں سے کون سے معیارات تجویز کیے گئے ہیں جو زیادہ تر نجی اور سرکاری ملازمتوں کو متاثر کرتے ہیں؟
