question,choices,subject,answer
پولز اور زیرو کو متبادل طور پر منفی اصلی محور پر ترتیب دیا جاتا ہے، پھر نیٹ ورک کی قسم ہے/ہیں۔,ایل سی نیٹ ورک۔|آر سی نیٹ ورک۔|آر ایل نیٹ ورک۔|2 اور 3 دونوں۔,electrical_engineering,3
فیرو میگنیٹک مواد میں میگنیٹائزیشن اور لاگو فیلڈ کا تعلق ہے۔,سینوسائڈ طور پر.|غیر لکیری طور پر.|لکیری طور پر|پیرابولی طور پر,electrical_engineering,1
کم کرنے کے لیے مشین میں باریک لیمینیشن کا استعمال کیا جاتا ہے۔,ایڈی موجودہ نقصانات|Hysteresis کے نقصانات|اے اور بی دونوں|تانبے کے نقصانات,electrical_engineering,0
1 میٹر کے رداس اور 20 کولمبس / ایم 2 کی سطح کے چارج کثافت والی دھات کی سطح 10 میٹر سائیڈ کیوب میں بند ہے۔ مکعب کی سطح پر کل بیرونی برقی نقل مکانی نارمل ہے۔,40π کولمبس۔|80π کولمبس۔|10π کولمبس۔|ان میں سے کوئی نہیں۔,electrical_engineering,1
بائنری نمبر سسٹم میں پہلے ہندسے (بٹ) کو دائیں سے بائیں کہا جاتا ہے۔,LSB، کم سے کم اہم بٹ|MSB، سب سے اہم بٹ|پہلا بٹ|آخری بٹ,electrical_engineering,0
بجلی کی پیمائش کے دو واٹ میٹر کے طریقے میں اگر کل پاور کو صرف ایک واٹ میٹر سے ناپا جائے تو سسٹم کا پاور فیکٹر,0۔|0.5|1۔|اوپر میں سے کوئی نہیں.,electrical_engineering,1
ایک 0 - 100 V وولٹ میٹر مکمل پیمانے پر پڑھنے کے 2% کی ضمانت شدہ درستگی رکھتا ہے۔ وولٹ میٹر کے ذریعے ماپا جانے والا وولٹیج 75 V ہے۔ محدود غلطی فیصد میں ہے,3.33%|2.66 %|2%|1%,electrical_engineering,1
رد عمل یا وولٹیج کے معاوضے کے لیے درج ذیل میں سے کون سا طریقہ استعمال کیا جاتا ہے۔,شنٹ کیپسیٹر|سیریز capacitor|نسل کی حوصلہ افزائی کنٹرول|اوپر کا سارا,electrical_engineering,3
مینوفیکچرنگ کے عمل کے دوران پروگرام شدہ ROM خود کہلاتا ہے۔,MROM|پروم|EPROM|EEPROM,electrical_engineering,0
8085 میں 16 بٹ رجسٹروں کے نام/نام ہیں/ہیں۔,اسٹیک پوائنٹر.|پروگرام کاؤنٹر.|A اور B دونوں|ان میں سے کوئی نہیں۔,electrical_engineering,2
کی طرف سے ایک ٹرانسمیشن لائن کے استحکام میں اضافہ کیا جا سکتا ہے,شنٹ کیپسیٹر|سیریز capacitor|شنٹ ری ایکٹر|A اور B دونوں,electrical_engineering,3
Snubber سرکٹ SCR کے ساتھ استعمال کیا جاتا ہے,سیریز میں.|متوازی میں۔|یا تو سلسلہ یا متوازی۔|مخالف متوازی.,electrical_engineering,1
کسی بھی عنصر کے بوہر ماڈل میں حلقوں کی تعداد کا تعین کس چیز سے ہوتا ہے؟,متواتر جدول پر کالم نمبر۔|ایٹمی ماس|متواتر جدول پر قطار نمبر۔|اٹامک نمبر۔,electrical_engineering,2
سلکان اور جرمینیم ________ عناصر ہیں۔,غیر معمولی|پینٹا ویلنٹ|hexavalent|tetravalant,electrical_engineering,3
8085 مائکرو پروسیسرز میں آؤٹ پٹ پنوں کی تعداد ہے۔,27۔|40.|21۔|19.,electrical_engineering,0
اگر P ستارے سے منسلک نظام کی طاقت ہے تو ایک مساوی ڈیلٹا سے منسلک نظام کی طاقت کیا ہوگی؟,پی|3P|ص/3|مندرجہ بالا میں سے کوئی بھی نہیں۔,electrical_engineering,0
یک سنگی IC میں کون سے oscillators کو بنانا آسان ہے؟,کرسٹل آسکیلیٹر۔|ہارٹلی آسکیلیٹر۔|وین برج آسکیلیٹر۔|آرام دہ اور پرسکون oscillator.,electrical_engineering,3
اگر کسی خاص نیٹ ورک کے تمام عناصر لکیری ہیں، تو سپرپوزیشن تھیوریم برقرار رہے گا، جب جوش,صرف ڈی سی|صرف اے سی|یا تو AC یا DC|ایک تسلسل,electrical_engineering,2
Op-Amp کا استعمال کرتے ہوئے Wien bridge oscillator کا فیڈ بیک فیکٹر ہے۔,1/3|1/4|1/2|1,electrical_engineering,2
8086/8088 میں بس سائیکل کی لمبائی چار گھڑی سائیکل ہے، T1، T2، T3، T4 اور انتظار ریاستی گھڑیوں کی ایک غیر متعین تعداد جس کو Tw سے ظاہر کیا گیا ہے۔ انتظار کی حالتیں ہمیشہ درمیان میں ڈالی جاتی ہیں۔,T1 اور T2|T2 اور T3|T3 اور T4|T4 اور T1,electrical_engineering,2
مندرجہ ذیل میں سے کون سا سائنوسائیڈل آسکیلیٹر نہیں ہے؟,LC آسکیلیٹر|آر سی فیز شفٹ آسکیلیٹر|آرام دہ اور پرسکون oscillator|کرسٹل آسکیلیٹر,electrical_engineering,2
کرنٹ لے جانے والی تار ایک سرکلر لوپ کی شکل میں جھکی ہوئی ہے۔ پھر تار کے ہر حصے کے گرد مقناطیسی میدان ہوگا۔,تار کے ہوائی جہاز کے متوازی۔|تار کے طواف پر کھڑا ہے۔|نصف حصے کے متوازی اور دوسرے آدھے حصے کے لیے کھڑا۔|اوپر میں سے کوئی نہیں.,electrical_engineering,0
24 = 2p میں p کی قدر کیا ہے؟,p = 4|p = 8|p = 12|p = 24,elementary_mathematics,2
محترمہ پیریز نے 5 دنوں میں کل 40 میل کا فاصلہ طے کیا۔ وہ ہر روز ایک ہی تعداد میں میل چلاتی تھی۔ محترمہ پیریز روزانہ کتنے میل ڈرائیو کرتی تھیں؟,5|7|8|9,elementary_mathematics,2
−40 ÷ (−8) کا حصہ تلاش کریں۔,1 سے زیادہ 5|−5|−1 سے زیادہ 5|5,elementary_mathematics,3
ایک فٹ بال ٹیم کے پاس فٹ بال کی گیندیں خریدنے کے لیے $90.00 ہیں۔ اگر ایک فٹ بال کی قیمت $15.60 ہے، تو ٹیم کتنی بڑی تعداد میں فٹ بال خرید سکتی ہے؟,4|5|6|7,elementary_mathematics,1
آپ اور تین دوست ایک کنسرٹ میں جاتے ہیں۔ چار ٹکٹوں کی کل قیمت $112 ہے۔ ایک ٹکٹ کی قیمت معلوم کرنے کے لیے ایک مساوات لکھیں اور حل کریں۔,4t = 112; $448|4t = 112; $28|t سے زیادہ 4 = 112; $448|t سے زیادہ 4 = 112; $28,elementary_mathematics,1
سوال کا جواب دینے کے لیے نیچے دیے گئے اظہار کا استعمال کریں۔ 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 اظہار کی قدر کیا ہے؟,9|11|26|32,elementary_mathematics,2
1 اور 1 کو 11 پر مکمل یا مخلوط نمبر آسان ترین شکل میں لکھیں۔,1.1 سے زیادہ 11|11 سے زیادہ 11|12 سے زیادہ 11|11 سے زیادہ 12,elementary_mathematics,2
2.16 ÷ 0.06 کا حصہ تلاش کریں۔,3.6|36|0.01272|12.72,elementary_mathematics,1
142.76 - 16.5 کا فرق تلاش کریں۔,"159.26|2.224|14,111|126.26",elementary_mathematics,3
5.04/0.7 کا حصہ تلاش کریں۔,0.72|0.702|10.0571|7.2,elementary_mathematics,3
جمی اور کیما ایک سفر پر جا رہے ہیں۔ وہ تین دن تک گاڑی چلائیں گے۔ پہلے دن وہ 182 میل ڈرائیو کریں گے۔ دوسرے دن وہ 439 میل ڈرائیو کریں گے۔ تیسرے دن وہ 217 میل ڈرائیو کریں گے۔ کون سا اظہار قریب ترین تخمینہ ہے کہ جمی اور کیما اپنے سفر پر کتنے میل چلیں گے؟,150 + 400 + 200|200 + 400 + 200|200 + 450 + 200|200 + 500 + 200,elementary_mathematics,2
21 کے بقیہ کو 7 سے تقسیم کیا ہے؟,21|7|1|ان میں سے کوئی نہیں,elementary_mathematics,3
میڈی 7 دنوں میں کل 56 میل کا سفر طے کرے گی۔ وہ ہر روز اتنے ہی میلوں کی سواری کرے گی۔ میڈی ہر روز کتنے میلوں کا سفر کرے گی؟,8|9|49|63,elementary_mathematics,0
وہ نمبر تلاش کریں جو بیان کو 88 سے زیادہ 48 بناتا ہے =؟ 11 سے زیادہ سچ۔,6|11|8|5,elementary_mathematics,0
بہترین خرید کون سی ہے؟,صابن کی 10 سلاخیں $23.20 میں|صابن کی 16 سلاخیں $36.48 میں|صابن کی 13 سلاخیں $29.51 میں|صابن کی 12 سلاخیں $27.60 میں,elementary_mathematics,2
ٹریش کے آرام کرنے والے دل کی شرح 50 دھڑکن فی منٹ ہے۔ ہر منٹ کے لیے وہ ورزش کرتی ہے، اس کے دل کی دھڑکن 5 دھڑکن فی منٹ بڑھ جاتی ہے۔ اسے 120 دھڑکن فی منٹ دل کی دھڑکن تک پہنچنے میں کتنا وقت لگے گا؟,5 منٹ|14 منٹ|34 منٹ|70 منٹ,elementary_mathematics,1
ڈیٹا 23، 13، 18، 29، 32، 25 کے سیٹ میں میڈین تلاش کریں۔,18|24|25|29,elementary_mathematics,1
جیک ایک سیب کے درخت سے 60 سیب چنتا ہے۔ وہ ان میں سے 12 کو سیب کی چٹنی بنانے کے لیے استعمال کرتا ہے۔ وہ باقی سیبوں کو 6 تحفے کی ٹوکریوں میں یکساں طور پر رکھتا ہے۔ سیب کی تعداد کا تعین کرنے کے لیے کون سی مساوات استعمال کی جا سکتی ہے، a، جسے جیک ہر تحفہ کی ٹوکری میں رکھتا ہے؟,(60/6)—12=a|(60-12)/6=a|(60-6)-12=a|(60+12)/6=a,elementary_mathematics,1
ایک مخصوص نقشہ 25 میل کے برابر 1 انچ کا پیمانہ استعمال کرتا ہے۔ اس نقشے پر 5 انچ سے کتنے میل کی نمائندگی کی گئی ہے؟,5|25|50|125,elementary_mathematics,3
آسان بنائیں (2 + 5)^2 − 42۔,7|16|30|33,elementary_mathematics,0
4 ÷ 2 • 2 + 8 − 4 کی قدر تلاش کریں۔,−12|12|8|16,elementary_mathematics,2
ایک کوچ نے ٹریک میٹ میں دوڑنے والوں کی تعداد کو قریب ترین 10 تک پہنچا دیا۔ رنرز کی گول تعداد 400 ہے۔ ٹریک میٹ میں دوڑنے والوں کی اصل تعداد کون سی ہو سکتی ہے؟,382|397|406|447,elementary_mathematics,1
−4 + ( −3 ) =,−7|-1|1|7,elementary_mathematics,0
مارک کے پاس ڈاک کا مجموعہ ہے۔ اس کے پاس جاپان سے 22، کینیڈا سے 34 اور میکسیکو سے 17 ڈاک ٹکٹ ہیں۔ اس کے پاس کل کتنے ڈاک ٹکٹ ہیں؟,53|63|73|83,elementary_mathematics,2
دیے گئے نمبروں سے مساوات x + 2.7 = 8.4 کے حل کی شناخت کریں۔,11.1|5.7|3.7|22.68,elementary_mathematics,1
وہ نمبر تلاش کریں جو بیان کو درست بناتا ہے: 0.32 g = _ cg۔,"32|3.2|3,200|320",elementary_mathematics,0
تقسیمی جائیداد کا استعمال کرتے ہوئے ذہنی طور پر 5.7(8) کا پروڈکٹ تلاش کریں۔,46.4|456|4.56|45.6,elementary_mathematics,3
"اظہار 2,314 / 4 کا حصہ کیا ہے؟",508|508 آر 2|578|578 آر 2,elementary_mathematics,3
روزا کا اس ماہ مجموعی طور پر 100 میل دوڑنے کا ہدف ہے۔ ہر دن جب وہ بھاگتی تھی، وہ 5 میل دوڑتی تھی۔ روزا اس بات کا تعین کرنے کے لیے کون سا جملہ استعمال کر سکتی ہے کہ ڈی دنوں تک دوڑنے کے بعد اس نے کتنے میل دوڑنا چھوڑ دیا ہے؟,100 - 5 ڈی|5d+100|100 / 5 ڈی|5 ڈی,elementary_mathematics,0
الجبری اظہار کی شناخت کریں جو لفظ کے فقرے سے میل کھاتا ہے: 4 گنا جتنے کین ٹام نے جمع کیے ہیں۔,4t|t 4 سے زیادہ|t − 4|t + 4,elementary_mathematics,0
"اینڈریو نے بورڈ پر 186,425 نمبر لکھا۔ کس نمبر میں ہندسے 6 کی قدر اینڈریو کے لکھے ہوئے ہندسے 6 کی قدر سے 10 گنا ہے؟","681,452|462,017|246,412|125,655",elementary_mathematics,1
123/8 کیا ہے؟,15 باقی 7|15 باقی 3|16 باقی 5|16 باقی 1,elementary_mathematics,1
8 اور 2 کو 4 سے زیادہ آسان شکل میں ایک غلط کسر کے طور پر لکھیں۔,17 سے زیادہ 2|34 سے زیادہ 4|17 سے زیادہ 4|19 اوور 2,elementary_mathematics,0
"270,240 کو پھیلا ہوا شکل میں ظاہر کرنے کے لیے کیا اظہار استعمال کیا جا سکتا ہے؟","200,000 + 7,000 + 200 + 4|200,000 + 7,000 + 200 + 40|200,000 + 70,000 + 200 + 40|200,000 + 70,000 + 2,000 + 40",elementary_mathematics,2
اسمبلی لائن پر ایک کارکن کو 22 حصے بنانے میں 7 گھنٹے لگتے ہیں۔ اس شرح سے وہ 35 گھنٹوں میں کتنے حصے بنا سکتی ہے؟,220 حصے|770 حصے|4 حصے|110 حصے,elementary_mathematics,3
ایبے نے اعداد کی اس فہرست کا اوسط اور میڈین پایا۔ 1، 3، 3 اگر فہرست میں نمبر 6 کا اضافہ کیا جائے تو,اوسط بڑھ جائے گا.|اوسط کم ہو جائے گا.|میڈین بڑھ جائے گا.|میڈین کم ہو جائے گا.,elementary_mathematics,0
جب n = 11، 10 – (n + 6) کی قدر کیا ہے؟,-7|5|7|27,elementary_mathematics,0
کون سا اظہار ذیل کے جملے کی نمائندگی کرتا ہے؟ 3 عدد سے کم، صفحہ,3-ص|p+3|3/ص|p-3,elementary_mathematics,3
ایک تھیٹر نے ایک فلم کو فروخت ہونے والے ہر ٹکٹ کے لیے $6 جمع کیا۔ تھیٹر میں فلم کے 500 ٹکٹ فروخت ہوئے۔ نیچے دیے گئے اظہار کو یہ معلوم کرنے کے لیے استعمال کیا جا سکتا ہے کہ تھیٹر نے ٹکٹوں کے لیے کتنی رقم جمع کی۔ 6 × 500 کون سا اظہار بھی استعمال کیا جا سکتا ہے کہ تھیٹر نے ٹکٹوں کے لیے کتنی رقم جمع کی؟,30 × 10^1|30 × 10^3|(6 × 5) × 10^2|(6 × 5) × 10^3,elementary_mathematics,2
آئیے 12-9+c=12۔ c کی کون سی قدر مساوات کو درست بناتی ہے؟,0|3|9|12,elementary_mathematics,2
سوجورن فیملی چھٹیوں پر گئی تھی۔ انہوں نے $2000 سے شروع کیا۔ اگر وہ ہر روز $150 خرچ کرتے ہیں، تو کون سا اظہار ظاہر کرتا ہے کہ ایکس دنوں کے بعد ان کے پاس کتنی رقم تھی؟,1850x|2000 −150x|150x|2000 +150x,elementary_mathematics,1
ایک شیلف پر چار کتابیں ہیں۔ شیلف پر موجود چار کتابوں میں سے ہر ایک کا وزن، پاؤنڈ میں، 2.5، 3.2، 2.7، 2.3 ہے، شیلف سے منتخب کی گئی کسی بھی کتاب کے وزن، w، کونسی عدم مساوات ظاہر کرتی ہے؟,w > 2.3|w <2.4|w > 3.2|w <3.3,elementary_mathematics,3
کس نمبر کی مطلق قدر 5 سے زیادہ ہے؟,-6|-5|0|5,elementary_mathematics,0
اظہار 2(3(4^2 + 1)) - 2^3 کی قدر کیا ہے؟,156|110|94|48,elementary_mathematics,2
گیوین نے کاغذ کے ٹکڑے پر نیچے نمبر کا نمونہ لکھا۔ 1، 5، 9، 13 گیوین کے پیٹرن میں اگلی دو اصطلاحات کیا ہیں؟,15، 17|15، 19|17، 19|17، 21,elementary_mathematics,3
اگر ناشپاتی کے 3 کین کی قیمت $2.37 ہے تو آپ ناشپاتی کے کتنے کین $9.48 میں خرید سکتے ہیں؟,3 ڈبے|12 ڈبے|36 کین|13 کین,elementary_mathematics,1
"عظیم سے کم از کم آرڈر کریں: 3، 3 اور 1 سے زیادہ 8,3.8,3.18۔",3.18، 3 اور 1 اوور 8، 3.8،3|3،3 اور 1 اوور 8، 3.18، 3|3.8، 3 اور 1 اوور 8، 3.18، 3|3.8، 3.18، 3 اور 1 اوور 8، 3,elementary_mathematics,3
22/2 + 9 کی گنتی کریں۔,10|11|20|2,elementary_mathematics,2
"ایک مخصوص شہر کی آبادی 836,527 ہے۔ اس شہر کی آبادی قریب ترین دس ہزار تک کتنی ہے؟","800,000|830,000|836,000|840,000",elementary_mathematics,3
5 • (−9) کی پیداوار تلاش کریں۔,14|−4|45|−45,elementary_mathematics,3
کیکو نے دن بھر پرندوں کو دیکھتے ہوئے گزارا اور دوپہر کے مقابلے میں صبح کے وقت 34 زیادہ پرندے گنے۔ اگر اس نے کل 76 پرندے گنے تو دوپہر میں اس نے کتنے پرندے گنے؟,21 پرندے|40 پرندے|42 پرندے|84 پرندے,elementary_mathematics,0
5 + 2 • 15 + (12 • 4) کی قدر کیا ہے؟,78|83|131|153,elementary_mathematics,1
